,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11,477.75,588.39,576.78,532.42,508.61,463.88,521.68,508.31,452.28,485.52,402.32,483.22,454.3,440.38,468.77,670.62,484.69,414.59,473.17,433.78,662.01,548.9,538.91,458.14,597.85,500.21,494.57,506.06,490.57,490.65,531.72,476.72,461.55,481.51,441.2,533.2,500.48,476.85,621.87,525.95,479.99,318.06,336.16,534.82,647.53,542.91,600.45,555.29,604.97,427.82
12,488.58,599.22,587.61,543.25,519.44,473.71,531.51,518.14,462.11,495.35,412.15,493.05,464.13,450.21,529.6,681.45,495.52,424.42,483.0,443.61,672.84,558.73,549.74,467.97,556.68,511.04,504.41,516.89,500.4,500.48,541.55,487.55,471.38,491.34,451.04,543.03,511.31,487.68,632.71,536.78,489.82,328.89,345.99,545.65,561.36,553.74,610.29,565.12,614.8,386.65
13,479.51,590.14,577.54,534.18,509.37,464.64,522.44,509.07,453.04,486.28,403.08,483.98,455.06,441.14,469.53,671.38,486.45,415.35,473.93,434.54,663.77,549.66,539.67,458.89,598.61,500.96,495.33,507.82,491.32,491.41,532.48,477.47,462.3,482.27,441.96,533.96,501.23,478.6,623.63,526.71,480.74,318.82,336.92,535.58,552.29,544.67,601.21,556.05,605.72,428.57
14,479.19,589.82,575.36,531.0,510.05,465.31,520.26,509.74,453.71,485.95,405.87,484.65,455.73,438.96,517.35,672.05,483.27,413.18,473.6,435.21,663.44,547.48,540.34,456.72,545.44,498.79,493.16,507.49,489.15,489.24,533.16,475.3,460.13,480.09,439.79,531.78,499.06,475.43,623.31,529.5,481.42,319.49,337.59,533.4,550.11,544.34,601.89,556.72,606.4,426.4
15,476.71,587.34,575.74,531.37,507.57,462.84,519.63,506.27,451.24,483.47,401.28,482.17,453.26,439.33,517.73,669.58,483.65,413.55,471.12,432.73,660.96,547.85,537.87,457.09,545.81,499.16,493.53,505.02,489.52,489.61,530.68,475.67,459.5,480.47,440.16,532.15,499.43,475.8,620.83,524.9,478.94,317.02,334.11,533.78,549.48,541.87,599.41,554.24,603.92,426.77
16,486.29,596.92,584.32,540.95,516.15,471.42,529.21,515.85,459.82,493.05,409.86,490.75,461.84,447.91,527.31,678.16,492.23,422.13,480.7,441.31,669.54,556.43,546.45,465.67,554.39,507.74,502.11,514.6,498.1,498.19,539.26,484.25,469.08,489.05,448.74,540.73,508.01,484.38,630.41,533.48,487.52,325.6,343.69,542.36,559.06,550.45,607.99,562.82,612.5,384.35
17,477.79,588.42,575.82,532.46,507.65,462.92,520.71,507.35,451.32,484.56,401.36,482.26,453.34,439.42,467.81,669.66,484.73,413.63,472.21,432.81,661.05,547.93,537.95,457.17,545.89,499.24,493.61,506.1,489.6,489.69,530.76,475.75,460.58,480.55,440.24,532.23,499.51,476.88,621.91,524.98,479.02,317.1,335.19,533.86,550.56,541.95,599.49,554.33,604.0,426.85
18,475.05,585.68,574.08,529.72,505.91,461.18,614.98,504.61,449.58,481.82,399.62,480.52,451.6,437.68,516.07,667.92,481.99,411.89,469.47,431.08,659.31,495.2,536.21,455.44,595.15,497.51,491.87,503.36,487.87,487.95,529.02,474.02,457.84,478.81,438.5,530.5,497.78,474.15,619.17,523.25,477.29,315.36,332.46,481.12,644.83,540.21,597.75,603.59,602.27,425.12
19,480.91,591.54,576.51,531.28,511.77,467.04,519.54,510.46,454.44,487.67,407.59,485.37,457.46,438.24,517.63,673.78,483.55,412.45,475.32,436.93,665.16,547.76,542.07,457.0,544.71,499.07,493.43,509.22,489.43,488.51,533.88,475.58,459.41,479.37,439.06,532.06,499.34,475.71,625.03,531.22,482.14,321.21,338.31,533.68,549.39,546.06,603.61,557.44,608.12,426.68
20,476.65,587.28,575.68,531.32,507.51,462.78,519.58,506.21,450.18,483.42,401.22,481.12,453.2,439.28,517.67,669.52,483.59,413.49,471.07,432.68,660.91,547.8,537.81,457.04,545.75,499.11,493.47,504.96,489.47,489.55,530.62,475.61,459.44,480.41,439.1,532.1,499.37,475.74,620.77,524.85,477.89,316.96,334.06,533.72,549.43,541.81,599.35,554.19,603.87,426.72
21,482.11,592.74,581.14,536.77,511.97,467.23,525.03,511.66,455.64,488.87,405.68,486.57,457.66,443.73,472.12,673.97,489.05,417.95,476.52,437.13,666.36,552.25,543.27,461.49,601.21,504.56,497.93,510.42,493.92,494.01,535.08,481.07,464.9,484.86,444.56,536.55,503.83,481.2,626.23,529.3,483.34,321.41,339.51,539.17,554.88,547.26,603.81,558.64,608.32,431.17
22,480.77,591.4,579.8,535.44,511.63,465.9,523.69,510.33,454.3,487.53,404.34,485.23,456.32,442.39,470.79,673.64,487.71,416.61,475.19,435.79,665.02,550.91,541.93,460.15,599.87,503.22,496.59,509.08,492.58,492.67,533.74,479.73,463.56,483.53,443.22,535.21,503.49,479.86,624.89,527.96,482.0,321.08,338.17,537.84,553.54,545.93,602.47,557.31,606.98,429.83
23,470.32,580.95,568.34,524.98,500.18,455.44,513.24,499.87,443.84,477.08,393.89,474.78,445.87,431.94,511.33,662.18,477.25,406.16,464.73,425.34,654.57,540.46,530.47,449.7,538.42,491.77,486.14,498.63,482.13,482.22,523.29,468.28,453.11,445.07,432.77,524.76,492.04,469.41,614.44,517.51,471.55,309.62,327.72,526.38,543.09,535.47,592.02,546.85,596.53,419.38
24,479.89,590.52,578.92,534.56,510.75,466.02,522.81,509.45,454.42,486.66,404.46,485.35,456.44,442.52,469.91,672.76,486.83,416.73,474.31,435.92,664.15,551.03,541.05,460.27,599.99,502.34,496.71,508.2,492.7,492.79,533.86,478.85,463.68,483.65,443.34,535.33,502.61,478.98,624.01,528.08,482.12,320.2,338.29,536.96,552.67,545.05,602.59,557.43,607.1,429.95
25,479.62,590.25,578.65,534.29,510.48,465.75,522.54,509.18,453.15,486.38,404.19,484.08,456.17,441.24,469.64,672.49,486.56,416.46,474.04,435.64,663.87,550.76,540.78,460.0,598.72,502.07,496.44,507.93,492.43,492.52,533.59,478.58,462.41,482.38,442.07,535.06,502.34,478.71,623.74,527.81,480.85,319.93,337.02,536.69,552.39,544.78,602.32,557.16,606.83,429.68
26,479.38,590.01,578.41,534.05,510.24,465.51,522.31,508.94,452.91,486.15,403.95,484.85,455.93,442.01,469.4,672.25,486.32,416.22,473.8,435.41,663.64,550.53,540.54,459.77,599.48,501.84,496.2,507.69,492.2,492.28,533.35,478.34,462.17,483.14,442.83,534.83,502.1,478.47,623.5,527.58,480.61,319.69,336.79,536.45,552.16,544.54,602.08,556.92,606.6,429.45
27,476.86,587.49,575.89,531.52,507.72,462.98,519.78,506.42,450.39,483.62,401.43,481.32,453.41,438.48,517.88,669.72,483.8,412.7,471.27,432.88,661.11,548.0,538.02,457.24,545.96,499.31,493.68,505.17,489.67,489.76,529.83,475.82,459.65,479.62,439.31,532.3,499.58,475.95,620.98,525.05,478.09,317.17,334.26,533.93,549.63,542.02,599.56,554.39,604.07,426.92
28,478.91,589.54,577.94,533.57,509.77,465.03,521.83,508.46,452.44,485.67,403.48,483.37,455.46,441.53,468.93,671.77,485.84,415.75,473.32,434.93,663.16,550.05,540.07,459.29,599.01,501.36,495.73,507.22,491.72,491.81,532.88,477.87,461.7,482.67,441.36,534.35,501.63,478.0,623.03,527.1,480.14,319.21,336.31,535.97,551.68,544.06,601.61,556.44,606.12,428.97
29,475.38,586.01,574.41,530.04,506.24,461.51,615.3,504.94,448.91,482.14,399.95,479.84,450.93,437.0,516.4,668.24,482.32,411.22,469.79,431.4,659.63,495.52,536.54,455.76,594.48,497.83,491.2,503.69,488.19,487.28,528.35,474.34,458.17,478.14,437.83,530.82,498.1,474.47,619.5,523.57,476.61,315.69,332.78,481.44,645.15,540.54,598.08,602.91,602.59,424.44
30,479.68,589.31,577.71,534.34,509.54,464.81,522.6,509.23,453.21,486.44,403.25,484.14,455.23,441.3,520.7,671.55,485.62,415.52,474.09,434.7,662.93,549.82,488.84,408.06,547.78,501.13,495.5,506.99,491.49,491.58,532.65,477.64,462.47,454.44,442.13,534.12,501.4,477.77,623.8,526.87,480.91,318.98,337.08,535.74,552.45,543.83,601.38,556.21,605.89,428.74
