source_index,target_index,distance_m,duration_s,waycategory
"[-75.2003548, 40.0494771]","[-75.1687489, 39.9511026]",15420.4,1453.7,"[[0, 99, 0], [99, 240, 1], [240, 265, 0]]"
"[-75.2003548, 40.0494771]","[-75.1513737, 39.9499548]",14078.9,1489.1,"[[0, 268, 0]]"
"[-75.2003548, 40.0494771]","[-75.1658471, 39.9513517]",13849.9,1460.1,"[[0, 266, 0]]"
"[-75.2003548, 40.0494771]","[-75.1808705, 39.9496709]",15263.2,1483.4,"[[0, 99, 0], [99, 240, 1], [240, 268, 0]]"
"[-75.2003548, 40.0494771]","[-75.16993, 39.954012]",15165.2,1455.7,"[[0, 99, 0], [99, 240, 1], [240, 260, 0]]"
"[-75.2003548, 40.0494771]","[-75.1689145, 39.9534406]",15162.7,1459.6,"[[0, 99, 0], [99, 240, 1], [240, 261, 0]]"
"[-75.2003548, 40.0494771]","[-75.1621446, 39.9565208]",13151.8,1377.5,"[[0, 253, 0]]"
"[-75.2003548, 40.0494771]","[-75.1562587, 39.9526803]",13410.9,1419.7,"[[0, 260, 0]]"
"[-75.2003548, 40.0494771]","[-75.160496, 39.9495792]",13498.2,1428.2,"[[0, 264, 0]]"
"[-75.2003548, 40.0494771]","[-75.1596329, 39.9559719]",12879.1,1351.7,"[[0, 250, 0]]"
"[-75.2003548, 40.0494771]","[-75.1543343, 39.9547207]",13237.0,1412.4,"[[0, 255, 0]]"
"[-75.2003548, 40.0494771]","[-75.1512021, 39.9477973]",14231.6,1507.7,"[[0, 271, 0]]"
"[-75.2003548, 40.0494771]","[-75.1712732, 39.953202]",14971.1,1429.8,"[[0, 99, 0], [99, 240, 1], [240, 257, 0]]"
"[-75.2003548, 40.0494771]","[-75.1646384, 39.9505969]",13967.0,1474.8,"[[0, 267, 0]]"
"[-75.2003548, 40.0494771]","[-75.1553822, 39.9564976]",13284.9,1426.1,"[[0, 256, 0]]"
"[-75.2003548, 40.0494771]","[-75.1521691, 39.9498503]",13954.5,1488.5,"[[0, 279, 0]]"
"[-75.2003548, 40.0494771]","[-75.1655738, 39.9548474]",13541.2,1404.9,"[[0, 254, 0]]"
"[-75.2003548, 40.0494771]","[-75.1462398, 39.9534007]",13890.6,1467.5,"[[0, 272, 0]]"
"[-75.2003548, 40.0494771]","[-75.1669977, 39.9542162]",13906.5,1458.5,"[[0, 263, 0]]"
"[-75.2003548, 40.0494771]","[-75.1659027, 39.9549769]",13581.0,1414.5,"[[0, 255, 0]]"
"[-75.2003548, 40.0494771]","[-75.1691875, 39.9538357]",13940.3,1457.2,"[[0, 267, 0]]"
"[-75.2003548, 40.0494771]","[-75.168648, 39.9552849]",13813.0,1442.2,"[[0, 261, 0]]"
"[-75.2003548, 40.0494771]","[-75.1686976, 39.9550004]",13812.2,1442.1,"[[0, 261, 0]]"
"[-75.2003548, 40.0494771]","[-75.1666223, 39.951126]",15566.8,1469.3,"[[0, 99, 0], [99, 240, 1], [240, 266, 0]]"
"[-75.2003548, 40.0494771]","[-75.1658779, 39.9533135]",13656.9,1417.3,"[[0, 257, 0]]"
"[-75.2003548, 40.0494771]","[-75.1541314, 39.9549848]",13078.9,1374.4,"[[0, 253, 0]]"
"[-75.2003548, 40.0494771]","[-75.1548244, 39.9607]",12484.5,1307.4,"[[0, 233, 0]]"
"[-75.2003548, 40.0494771]","[-75.1729633, 39.9619508]",12881.9,1409.8,"[[0, 231, 0]]"
"[-75.2003548, 40.0494771]","[-75.1559444, 39.9539208]",13059.4,1394.8,"[[0, 253, 0]]"
"[-75.2003548, 40.0494771]","[-75.1669336, 39.9542882]",13910.6,1459.3,"[[0, 263, 0]]"
