source_index,target_index,distance_m,duration_s,waycategory
"[-75.080106, 40.0587237]","[-75.1687489, 39.9511026]",16889.3,1461.9,"[[0, 335, 0]]"
"[-75.080106, 40.0587237]","[-75.1513737, 39.9499548]",15781.0,1364.1,"[[0, 282, 0]]"
"[-75.080106, 40.0587237]","[-75.1658471, 39.9513517]",16550.8,1445.4,"[[0, 330, 0]]"
"[-75.080106, 40.0587237]","[-75.1808705, 39.9496709]",18357.9,1649.8,"[[0, 363, 0]]"
"[-75.080106, 40.0587237]","[-75.16993, 39.954012]",17152.2,1499.3,"[[0, 339, 0]]"
"[-75.080106, 40.0587237]","[-75.1689145, 39.9534406]",17149.7,1503.2,"[[0, 340, 0]]"
"[-75.080106, 40.0587237]","[-75.1621446, 39.9565208]",15852.8,1362.8,"[[0, 317, 0]]"
"[-75.080106, 40.0587237]","[-75.1562587, 39.9526803]",16029.3,1385.5,"[[0, 292, 0]]"
"[-75.080106, 40.0587237]","[-75.160496, 39.9495792]",16199.2,1413.5,"[[0, 328, 0]]"
"[-75.080106, 40.0587237]","[-75.1596329, 39.9559719]",15580.0,1337.0,"[[0, 314, 0]]"
"[-75.080106, 40.0587237]","[-75.1543343, 39.9547207]",15917.3,1379.2,"[[0, 288, 0]]"
"[-75.080106, 40.0587237]","[-75.1512021, 39.9477973]",15933.6,1382.7,"[[0, 285, 0]]"
"[-75.080106, 40.0587237]","[-75.1712732, 39.953202]",16985.5,1494.3,"[[0, 335, 0]]"
"[-75.080106, 40.0587237]","[-75.1646384, 39.9505969]",16668.0,1460.1,"[[0, 331, 0]]"
"[-75.080106, 40.0587237]","[-75.1553822, 39.9564976]",15985.8,1411.3,"[[0, 320, 0]]"
"[-75.080106, 40.0587237]","[-75.1521691, 39.9498503]",16040.6,1413.5,"[[0, 288, 0]]"
"[-75.080106, 40.0587237]","[-75.1655738, 39.9548474]",16242.2,1390.2,"[[0, 318, 0]]"
"[-75.080106, 40.0587237]","[-75.1462398, 39.9534007]",15592.7,1342.5,"[[0, 286, 0]]"
"[-75.080106, 40.0587237]","[-75.1669977, 39.9542162]",16607.5,1443.8,"[[0, 327, 0]]"
"[-75.080106, 40.0587237]","[-75.1659027, 39.9549769]",16282.0,1399.7,"[[0, 319, 0]]"
"[-75.080106, 40.0587237]","[-75.1691875, 39.9538357]",16641.2,1442.4,"[[0, 331, 0]]"
"[-75.080106, 40.0587237]","[-75.168648, 39.9552849]",16513.9,1427.4,"[[0, 325, 0]]"
"[-75.080106, 40.0587237]","[-75.1686976, 39.9550004]",16513.2,1427.4,"[[0, 325, 0]]"
"[-75.080106, 40.0587237]","[-75.1666223, 39.951126]",17035.7,1477.5,"[[0, 336, 0]]"
"[-75.080106, 40.0587237]","[-75.1658779, 39.9533135]",16357.8,1402.6,"[[0, 321, 0]]"
"[-75.080106, 40.0587237]","[-75.1541314, 39.9549848]",15779.9,1359.7,"[[0, 317, 0]]"
"[-75.080106, 40.0587237]","[-75.1548244, 39.9607]",15185.4,1292.7,"[[0, 297, 0]]"
"[-75.080106, 40.0587237]","[-75.1729633, 39.9619508]",16495.3,1510.6,"[[0, 321, 0]]"
"[-75.080106, 40.0587237]","[-75.1559444, 39.9539208]",15760.3,1380.0,"[[0, 317, 0]]"
"[-75.080106, 40.0587237]","[-75.1669336, 39.9542882]",16611.6,1444.5,"[[0, 327, 0]]"
"[-75.080106, 40.0587237]","[-75.1604697, 39.9560453]",16029.3,1369.2,"[[0, 317, 0]]"
"[-75.080106, 40.0587237]","[-75.1675937, 39.9498476]",16891.5,1483.9,"[[0, 337, 0]]"
"[-75.080106, 40.0587237]","[-75.1670679, 39.9458843]",17242.4,1546.5,"[[0, 345, 0]]"
"[-75.080106, 40.0587237]","[-75.1552838, 39.9513696]",16003.3,1400.1,"[[0, 290, 0]]"
"[-75.080106, 40.0587237]","[-75.1779185, 39.9527664]",17641.5,1545.9,"[[0, 349, 0]]"
"[-75.080106, 40.0587237]","[-75.1797862, 39.9531685]",18143.9,1610.0,"[[0, 353, 0]]"
"[-75.080106, 40.0587237]","[-75.1544702, 39.9614844]",15092.5,1270.4,"[[0, 294, 0]]"
"[-75.080106, 40.0587237]","[-75.1655897, 39.9673357]",15049.2,1310.5,"[[0, 294, 0]]"
"[-75.080106, 40.0587237]","[-75.16608, 39.9510606]",17082.4,1482.3,"[[0, 336, 0]]"
"[-75.080106, 40.0587237]","[-75.1664209, 39.9503433]",16717.6,1474.6,"[[0, 333, 0]]"
"[-75.080106, 40.0587237]","[-75.1561177, 39.9487839]",16409.2,1450.0,"[[0, 293, 0]]"
"[-75.080106, 40.0587237]","[-75.1595695, 39.950964]",16095.3,1396.9,"[[0, 326, 0]]"
"[-75.080106, 40.0587237]","[-75.1498611, 39.9520642]",15426.8,1306.5,"[[0, 276, 0]]"
"[-75.0793505, 40.0560017]","[-75.1666744, 39.9529142]",16737.7,1517.3,"[[0, 318, 0]]"
"[-75.0793505, 40.0560017]","[-75.1547527, 39.9461843]",16314.0,1516.8,"[[0, 279, 0]]"
"[-75.0793505, 40.0560017]","[-75.1588087, 39.9519519]",15928.7,1434.2,"[[0, 307, 0]]"
"[-75.0793505, 40.0560017]","[-75.1555507, 39.9554634]",15527.2,1393.1,"[[0, 299, 0]]"
"[-75.0793505, 40.0560017]","[-75.1683452, 39.953861]",16483.7,1483.1,"[[0, 314, 0]]"
"[-75.0793505, 40.0560017]","[-75.1524421, 39.9486116]",15869.5,1455.3,"[[0, 269, 0]]"
"[-75.0793505, 40.0560017]","[-75.1696579, 39.9671376]",15298.2,1391.8,"[[0, 286, 0]]"
"[-75.0793505, 40.0560017]","[-75.1687489, 39.9511026]",16792.2,1512.2,"[[0, 320, 0]]"
"[-75.0793505, 40.0560017]","[-75.1513737, 39.9499548]",15683.9,1414.3,"[[0, 267, 0]]"
"[-75.0793505, 40.0560017]","[-75.1658471, 39.9513517]",16453.8,1495.6,"[[0, 315, 0]]"
"[-75.0793505, 40.0560017]","[-75.1808705, 39.9496709]",18260.8,1700.1,"[[0, 348, 0]]"
"[-75.0793505, 40.0560017]","[-75.16993, 39.954012]",17055.1,1549.5,"[[0, 324, 0]]"
"[-75.0793505, 40.0560017]","[-75.1689145, 39.9534406]",17052.6,1553.5,"[[0, 325, 0]]"
"[-75.0793505, 40.0560017]","[-75.1621446, 39.9565208]",15755.7,1413.0,"[[0, 302, 0]]"
"[-75.0793505, 40.0560017]","[-75.1562587, 39.9526803]",15932.2,1435.8,"[[0, 277, 0]]"
"[-75.0793505, 40.0560017]","[-75.160496, 39.9495792]",16102.1,1463.8,"[[0, 313, 0]]"
"[-75.0793505, 40.0560017]","[-75.1596329, 39.9559719]",15483.0,1387.2,"[[0, 299, 0]]"
"[-75.0793505, 40.0560017]","[-75.1543343, 39.9547207]",15820.2,1429.4,"[[0, 273, 0]]"
"[-75.0793505, 40.0560017]","[-75.1512021, 39.9477973]",15836.5,1432.9,"[[0, 270, 0]]"
"[-75.0793505, 40.0560017]","[-75.1712732, 39.953202]",16888.5,1544.5,"[[0, 320, 0]]"
"[-75.0793505, 40.0560017]","[-75.1646384, 39.9505969]",16570.9,1510.3,"[[0, 316, 0]]"
"[-75.0793505, 40.0560017]","[-75.1553822, 39.9564976]",15888.8,1461.6,"[[0, 305, 0]]"
"[-75.0793505, 40.0560017]","[-75.1521691, 39.9498503]",15943.6,1463.8,"[[0, 273, 0]]"
"[-75.0793505, 40.0560017]","[-75.1655738, 39.9548474]",16145.1,1440.4,"[[0, 303, 0]]"
