source_index,target_index,distance_m,duration_s,waycategory
"[-75.3069002, 39.9507614]","[-75.1669336, 39.9542882]",14737.1,1447.9,"[[0, 223, 0], [223, 286, 1], [286, 319, 0]]"
"[-75.3069002, 39.9507614]","[-75.1604697, 39.9560453]",15025.8,1418.5,"[[0, 223, 0], [223, 292, 1], [292, 307, 0]]"
"[-75.3069002, 39.9507614]","[-75.1675937, 39.9498476]",13184.5,1397.5,"[[0, 303, 0]]"
"[-75.3069002, 39.9507614]","[-75.1670679, 39.9458843]",13611.0,1425.4,"[[0, 279, 0]]"
"[-75.3069002, 39.9507614]","[-75.1552838, 39.9513696]",13915.8,1529.4,"[[0, 308, 0]]"
"[-75.3069002, 39.9507614]","[-75.1779185, 39.9527664]",12094.9,1281.3,"[[0, 286, 0]]"
"[-75.3069002, 39.9507614]","[-75.1797862, 39.9531685]",11652.9,1230.2,"[[0, 277, 0]]"
"[-75.3069002, 39.9507614]","[-75.1544702, 39.9614844]",16135.0,1527.6,"[[0, 328, 0]]"
"[-75.3069002, 39.9507614]","[-75.1655897, 39.9673357]",14808.1,1392.9,"[[0, 299, 0]]"
"[-75.3069002, 39.9507614]","[-75.16608, 39.9510606]",12842.9,1374.5,"[[0, 293, 0]]"
"[-75.3069002, 39.9507614]","[-75.1664209, 39.9503433]",13022.3,1403.9,"[[0, 296, 0]]"
"[-75.3069002, 39.9507614]","[-75.1561177, 39.9487839]",14265.0,1534.1,"[[0, 328, 0]]"
"[-75.3069002, 39.9507614]","[-75.1595695, 39.950964]",13628.2,1490.4,"[[0, 302, 0]]"
"[-75.3069002, 39.9507614]","[-75.1498611, 39.9520642]",16311.5,1514.6,"[[0, 223, 0], [223, 312, 1], [312, 319, 0]]"
"[-75.3063145, 39.9504892]","[-75.1666744, 39.9529142]",12982.1,1395.5,"[[0, 299, 0]]"
"[-75.3063145, 39.9504892]","[-75.1547527, 39.9461843]",14328.8,1529.9,"[[0, 329, 0]]"
"[-75.3063145, 39.9504892]","[-75.1588087, 39.9519519]",15728.8,1504.5,"[[0, 223, 0], [223, 292, 1], [292, 319, 0]]"
"[-75.3063145, 39.9504892]","[-75.1555507, 39.9554634]",15498.7,1463.8,"[[0, 223, 0], [223, 292, 1], [292, 316, 0]]"
"[-75.3063145, 39.9504892]","[-75.1683452, 39.953861]",13240.9,1428.6,"[[0, 303, 0]]"
"[-75.3063145, 39.9504892]","[-75.1524421, 39.9486116]",14271.3,1584.4,"[[0, 310, 0]]"
"[-75.3063145, 39.9504892]","[-75.1696579, 39.9671376]",14511.0,1367.6,"[[0, 292, 0]]"
"[-75.3063145, 39.9504892]","[-75.1687489, 39.9511026]",12698.8,1360.0,"[[0, 292, 0]]"
"[-75.3063145, 39.9504892]","[-75.1513737, 39.9499548]",14213.1,1551.0,"[[0, 310, 0]]"
"[-75.3063145, 39.9504892]","[-75.1658471, 39.9513517]",13249.2,1443.7,"[[0, 308, 0]]"
"[-75.3063145, 39.9504892]","[-75.1808705, 39.9496709]",12652.5,1341.9,"[[0, 260, 0]]"
"[-75.3063145, 39.9504892]","[-75.16993, 39.954012]",12784.7,1367.0,"[[0, 296, 0]]"
"[-75.3063145, 39.9504892]","[-75.1689145, 39.9534406]",12782.2,1371.0,"[[0, 297, 0]]"
"[-75.3063145, 39.9504892]","[-75.1621446, 39.9565208]",14996.5,1428.9,"[[0, 223, 0], [223, 292, 1], [292, 304, 0]]"
"[-75.3063145, 39.9504892]","[-75.1562587, 39.9526803]",15815.0,1525.5,"[[0, 223, 0], [223, 292, 1], [292, 321, 0]]"
"[-75.3063145, 39.9504892]","[-75.160496, 39.9495792]",13493.3,1468.6,"[[0, 301, 0]]"
"[-75.3063145, 39.9504892]","[-75.1596329, 39.9559719]",15146.0,1429.5,"[[0, 223, 0], [223, 292, 1], [292, 308, 0]]"
"[-75.3063145, 39.9504892]","[-75.1543343, 39.9547207]",15812.4,1518.7,"[[0, 223, 0], [223, 292, 1], [292, 321, 0]]"
"[-75.3063145, 39.9504892]","[-75.1512021, 39.9477973]",14396.7,1565.1,"[[0, 312, 0]]"
"[-75.3063145, 39.9504892]","[-75.1712732, 39.953202]",12565.9,1350.5,"[[0, 290, 0]]"
"[-75.3063145, 39.9504892]","[-75.1646384, 39.9505969]",13021.7,1395.3,"[[0, 294, 0]]"
"[-75.3063145, 39.9504892]","[-75.1553822, 39.9564976]",15860.2,1532.4,"[[0, 223, 0], [223, 292, 1], [292, 322, 0]]"
"[-75.3063145, 39.9504892]","[-75.1521691, 39.9498503]",14126.0,1538.3,"[[0, 308, 0]]"
"[-75.3063145, 39.9504892]","[-75.1655738, 39.9548474]",15002.0,1425.1,"[[0, 223, 0], [223, 292, 1], [292, 300, 0]]"
"[-75.3063145, 39.9504892]","[-75.1462398, 39.9534007]",16526.3,1556.4,"[[0, 223, 0], [223, 312, 1], [312, 329, 0]]"
"[-75.3063145, 39.9504892]","[-75.1669977, 39.9542162]",14782.0,1453.1,"[[0, 223, 0], [223, 286, 1], [286, 319, 0]]"
"[-75.3063145, 39.9504892]","[-75.1659027, 39.9549769]",15041.9,1434.7,"[[0, 223, 0], [223, 292, 1], [292, 301, 0]]"
"[-75.3063145, 39.9504892]","[-75.1691875, 39.9538357]",13301.3,1438.2,"[[0, 305, 0]]"
"[-75.3063145, 39.9504892]","[-75.168648, 39.9552849]",14688.5,1436.7,"[[0, 223, 0], [223, 286, 1], [286, 317, 0]]"
"[-75.3063145, 39.9504892]","[-75.1686976, 39.9550004]",14687.7,1436.6,"[[0, 223, 0], [223, 286, 1], [286, 317, 0]]"
"[-75.3063145, 39.9504892]","[-75.1666223, 39.951126]",12845.2,1375.5,"[[0, 293, 0]]"
"[-75.3063145, 39.9504892]","[-75.1658779, 39.9533135]",15117.7,1437.5,"[[0, 223, 0], [223, 292, 1], [292, 303, 0]]"
"[-75.3063145, 39.9504892]","[-75.1541314, 39.9549848]",15654.3,1480.7,"[[0, 223, 0], [223, 292, 1], [292, 319, 0]]"
"[-75.3063145, 39.9504892]","[-75.1548244, 39.9607]",16276.9,1555.8,"[[0, 331, 0]]"
"[-75.3063145, 39.9504892]","[-75.1729633, 39.9619508]",14385.0,1459.1,"[[0, 223, 0], [223, 286, 1], [286, 314, 0]]"
"[-75.3063145, 39.9504892]","[-75.1559444, 39.9539208]",15634.7,1501.1,"[[0, 223, 0], [223, 292, 1], [292, 319, 0]]"
"[-75.3063145, 39.9504892]","[-75.1669336, 39.9542882]",14786.1,1453.8,"[[0, 223, 0], [223, 286, 1], [286, 319, 0]]"
"[-75.3063145, 39.9504892]","[-75.1604697, 39.9560453]",15074.7,1424.4,"[[0, 223, 0], [223, 292, 1], [292, 307, 0]]"
"[-75.3063145, 39.9504892]","[-75.1675937, 39.9498476]",13233.5,1403.4,"[[0, 303, 0]]"
"[-75.3063145, 39.9504892]","[-75.1670679, 39.9458843]",13659.9,1431.3,"[[0, 279, 0]]"
